Place,N1,N1Err,Age,AgeErr,Color
Nectaris Basin,1200.0,400.0,3.92,0.03,r
Apollo 16 Descartes,340.0,70.0,3.92,0.03,r
Apollo 14 Imbrium Basin,370.0,70.0,3.77,0.02,r
M.Tr.old(A11),90.0,18.0,3.80,0.02,b
Apollo 17 Mare Serenitatis,100.0,30.0,3.75,0.01,b
Apollo 11 Mare Tranquillitatis,64.0,20.0,3.58,0.01,b
M.Fecunditatis (L16),33.0,10.0,3.41,0.04,b
Apollo 15 Mare Imbrium,32,11,3.30,0.02,b
Mare Crisium (L24),30.0,10.0,3.22,0.02,b
Apollo 12 O.Procellarum,36.0,11.0,3.15,0.04,b
Apollo 12 Copernicus,13.0,3.0,0.8,0.015,k
Apollo 17 Tycho,0.9,0.18,0.109,0.004,k
North Ray crater,0.44,0.11,0.053,0.008,k
Cone crater,0.21,0.05,0.025,0.0012,k
All Lunar Samples,0.0001,0.0,5.0,0.0,k
Original Lunar Crust,0.0001,0.0,5.0,0.0,k
a  ,0.0001,0.0,5.0,0.0,k
